user_id,nickname,sex,sign,avatar,last_modify_ts,total_fans,total_liked,user_rank,is_official
3.54681E+15,张雪峰课堂,男,"❤️分享适合普通孩子的升学信息
?为普通家庭打破信息差
教育不是灌输 而是点燃一簇簇小火苗
感谢B站，正能量传递！感谢三连，感谢关注！",https://i2.hdslb.com/bfs/face/30e5a2e565feffdbe717b5db60ba18f36f6e8f6e.jpg,1.76522E+12,3110,157570,3,-1
3.49309E+15,账号已注销,保密,,https://i0.hdslb.com/bfs/face/member/noface.jpg,1.76522E+12,100686,1449359,0,-1
39460980,问问大象,保密,自主，是人通往幸福的开始！ps：公众号也叫问问大象。我们的视频均可免授权用于【全国各级校园内非商业】使用。,https://i0.hdslb.com/bfs/face/621033f23c2d14c5c2af23bc0971449ef0229452.jpg,1.76522E+12,427820,1437364,6,0
395944088,张雪峰直播课,男,张雪峰老师直播课，每日更新，所有视频均绝版,https://i2.hdslb.com/bfs/face/a60d63ed5ade6b6eb888c297f2360fed1181ed6b.jpg,1.76522E+12,6201,219586,5,-1
40427625,取景框看世界,男,复旦大学博士，你的B站大学辅导员，立志让所有学生看到更大的世界。商务wx：Cheryl-cxc（非本人）,https://i0.hdslb.com/bfs/face/0d671560a6dd7f28247b3b7501d404a5b01280ea.jpg,1.76522E+12,3993973,14985558,6,0
2140155552,张雪峰直播课堂,保密,高考成功，考研上岸！,https://i0.hdslb.com/bfs/face/fc407dc3bdbc1708889d5e2011257858e042703f.jpg,1.76522E+12,62610,1806408,6,-1
522511989,张雪峰直播讲升学,保密,,https://i0.hdslb.com/bfs/face/f50fa605c7230a9fd52c495fc9e41f2a170aaeee.jpg,1.76522E+12,12443,58933,5,-1
3.46157E+15,鱼C论坛fishc-com-cn,女,「鱼C论坛」成立于2010.05.20 能在这里学到゜- ゜)つロ编程、AI、黑科技、科普、冷知识、量化、吹水,https://i0.hdslb.com/bfs/face/a35e95a548c73e8ea29058444cc47d856baddba4.jpg,1.76522E+12,7158,257112,6,-1
195794393,峰乐一,男,张老师的一个小迷弟，看直播顺便分享下有趣的内容。,https://i2.hdslb.com/bfs/face/04e65619004809c677b0b9d0dbf2fde285609452.jpg,1.76522E+12,15367,901548,6,-1
1389337157,本来应该游刃有余,保密,,https://i2.hdslb.com/bfs/face/f2ee9299aec29b1fa5195a0605b73741429ba1db.jpg,1.76522E+12,4317,5695,4,-1
3.54657E+15,张雪峰说考研就业,男,感谢您的关注，每天分享考研考公就业知识,https://i2.hdslb.com/bfs/face/32f57f888f2a89cb511d52107514a9e274835fa4.jpg,1.76522E+12,202300,2602518,6,-1
3.49438E+15,账号已注销,保密,,https://i0.hdslb.com/bfs/face/member/noface.jpg,1.76522E+12,762,29168,0,-1
519549602,-子豪好闲-,男,一定要考上研！,https://i2.hdslb.com/bfs/face/349dd2ef50f12618f2bee2d49fdb975f7528899b.jpg,1.76522E+12,8102,304862,6,-1
473917446,卡比兽真的云,保密,听说你上了第一志愿啦！！！关注领张雪峰高考志愿填报资料（新）,https://i0.hdslb.com/bfs/face/16f38fe56aeb372b7a6b49f0d41208c5dad007c6.jpg,1.76522E+12,1881,20483,5,-1
23326926,柳行长,男,财经区气人up主，擅长不务正业；合作earthmart；,https://i0.hdslb.com/bfs/face/d868b0f12b680115b150cc9d1416f0dfea39c905.jpg,1.76522E+12,1493020,5919900,6,0
3.54697E+15,张雪峰考公考研知识_,保密,此账号资料视频主播用心收集，如果对你有帮助的话，给主播一个关注吧,https://i0.hdslb.com/bfs/face/fcc2e70fff7e2055b9cf0ff4c60ceafa76a29c19.jpg,1.76522E+12,3335,49582,3,-1
24630982,happyの菜菜,保密,花不可以无蝶，山不可以无泉，人不可以无爱,http://i1.hdslb.com/bfs/face/103fcea35e117c2e7f34b1b732dcb3f59f734b74.jpg,1.76522E+12,48,1771,6,-1
242193159,Super杨小春,保密,"某书/某音/公粽号同名
金融从业者，硕士，cpa，法律职业资格证
法考带学请至公主号找到我",https://i0.hdslb.com/bfs/face/b8f25b1346d4f7cbc900cd802c937c834cab53da.jpg,1.76522E+12,14585,25265,5,-1
