major,confidence,mention_count,total_likes,positive_rate,negative_rate,neutral_rate,sentiment_index,recommendation_score,employment_major
材料类,0.8413280637506495,374,35364.0,73.52941176470588,19.518716577540108,6.951871657754011,54.01069518716578,441.70526447389966,
通信工程,0.8469502292793883,338,227864.0,77.81065088757396,16.56804733727811,5.621301775147929,61.24260355029585,425.2537424598684,
人工智能,0.8739887104659784,305,99610.0,82.29508196721311,12.131147540983607,5.573770491803279,70.1639344262295,418.80711402627054,人工智能
数据科学,0.8774392473347047,204,95350.0,87.74509803921569,5.392156862745098,6.862745098039216,82.3529411764706,299.8503728005196,数据科学与大数据技术
哲学,0.8530278441284885,238,43532.0,74.78991596638656,13.865546218487395,11.344537815126051,60.92436974789916,289.87964157096405,
美术,0.8021669440603784,271,241665.0,64.20664206642066,19.557195571955717,16.236162361623617,44.64944649446494,266.47011887458154,美术学
农学,0.8257526003117124,229,60617.0,65.93886462882097,23.144104803493452,10.91703056768559,42.79475982532752,238.04628225862655,农学
中医学,0.832924978243999,195,32576.0,69.74358974358974,23.589743589743588,6.666666666666667,46.153846153846146,216.2615445612521,中医学
兽医,0.8463159122434604,147,225791.0,74.82993197278913,15.646258503401361,9.523809523809524,59.18367346938776,177.72957301790885,
建筑学,0.8525970165546124,117,155062.0,88.88888888888889,2.564102564102564,8.547008547008547,86.32478632478632,169.28234005666226,建筑学
人力资源,0.8408062317541667,140,13152.0,75.0,22.857142857142858,2.142857142857143,52.14285714285714,168.54649548336675,人力资源管理
航空航天,0.9148706996440887,100,100015.0,92.0,3.0,5.0,89.0,160.68748447357038,
药学,0.8279026001691818,112,16848.0,67.85714285714286,18.75,13.392857142857142,49.10714285714286,120.12332495772779,药学
网络安全,0.916289548720083,62,58483.0,95.16129032258065,4.838709677419355,0.0,90.3225806451613,103.20939934036828,
音乐,0.7910658041636149,90,63093.0,74.44444444444444,14.444444444444443,11.11111111111111,60.0,101.1863476116117,音乐表演
体育,0.7925605706448825,106,74147.0,59.43396226415094,23.58490566037736,16.9811320754717,35.84905660377358,95.32515454491714,体育教育
